EXPEDITION,SITE,HOLE,CORE,CORE_TYPE,SECTION,CC,TOP_DEPTH,BOTTOM_DEPTH,MBSF_TOP,MCD_TOP,AGE (MA),SPLITS,SIZE.MEAN.AREA,SIZE.MEAN.DIAMETERMEAN,SIZE.MEAN.DIAMETERMIN,SIZE.MEAN.DIAMETERMAX,SIZE.MEAN.SPHERICITY,SIZE.MEAN.SHAPEFACTOR,SIZE.MEDIAN.AREA,SIZE.MEDIAN.DIAMETERMEAN,SIZE.MEDIAN.DIAMETERMIN,SIZE.MEDIAN.DIAMETERMAX,SIZE.MEDIAN.SPHERICITY,SIZE.MEDIAN.SHAPEFACTOR,SIZE.SD.AREA,SIZE.SD.DIAMETERMEAN,SIZE.SD.DIAMETERMIN,SIZE.SD.DIAMETERMAX,SIZE.SD.SPHERICITY,SIZE.SD.SHAPEFACTOR,SIZE.95.AREA,SIZE.95.DIAMETERMEAN,SIZE.95.DIAMETERMIN,SIZE.95.DIAMETERMAX,SIZE.95.SPHERICITY,SIZE.95.SHAPEFACTOR,SIZE.9.AREA,SIZE.9.DIAMETERMEAN,SIZE.9.DIAMETERMIN,SIZE.9.DIAMETERMAX,SIZE.9.SPHERICITY,SIZE.9.SHAPEFACTOR,SIZE.SKEWNESS.AREA,SIZE.SKEWNESS.DIAMETERMEAN,SIZE.SKEWNESS.DIAMETERMIN,SIZE.SKEWNESS.DIAMETERMAX,SIZE.SKEWNESS.SPHERICITY,SIZE.SKEWNESS.SHAPEFACTOR,SIZE.KURTOSIS.AREA,SIZE.KURTOSIS.DIAMETERMEAN,SIZE.KURTOSIS.DIAMETERMIN,SIZE.KURTOSIS.DIAMETERMAX,SIZE.KURTOSIS.SPHERICITY,SIZE.KURTOSIS.SHAPEFACTOR,NUMBER.OF.TESTS,MASS.OF.PETRI.DISH,PD.W.SAMPLE,DRY.BULK.MASS,WASH.DATE,WASHER,DRY.WASHED.WEIGHT.W..PD,BULK.WASHED.WEIGHT,X.SAND,NOTES,FRAGMENTS,WHOLE.TESTS,SPLITS,FRAGMENTATION.INDEX,FILE_NAME
154,925.0,C,1,H,3,no,23.0,25.0,3.23,3.23,0.077859649122807,5.0,56235.1762299165,248.950408628375,205.532868763951,284.629263801959,0.651404721451444,0.771336237023347,39380.7595225149,222.255237881593,183.463440761186,255.297544182461,0.63454238840179,0.777474578894666,48547.1107937817,93.7186088603524,80.3270920407074,107.760262884023,0.123264464248853,0.0492019531522229,165494.858800823,452.310052654971,368.497492054347,516.831214361074,0.894439896492753,0.843663017191926,112106.446608926,375.471477184027,315.044106898647,436.095752150815,0.832937402603083,0.831449658069767,2.49730844471801,1.50522257528881,1.6137350648322,1.53994998458793,0.53973382991323,-0.326424708657207,10.4909728029729,5.34817862339689,6.04287119765234,5.56868687274466,2.74928073296425,2.57671688296795,1265.0,46.93,57.98,11.05,15/06/2019,Fraass,48.37,1.4399999999999977,0.1153,,99.0,549.0,8.0,0.847222222222222,"925C,1H-3,23-25"
154,925.0,C,1,H,3,no,38.0,40.0,3.38,3.38,0.0839122807017544,5.0,67000.2086749001,271.356728562989,228.0003425425,308.405983655023,0.669789163973339,0.7956172665079,46408.0682005609,241.530628527064,203.575583404559,274.508857010185,0.657238161539434,0.804230909475852,56860.9629234773,102.761935741276,88.0190912276156,119.79282439107,0.120233842671944,0.0488462941371302,181335.873684725,477.759752239547,402.423815380227,548.11528087679,0.889796849694074,0.861005504768985,139624.274155136,419.551297470805,350.902024671167,475.65340992994,0.841162356402307,0.849731141105152,2.46788098470874,1.30590598941082,1.35405332927387,1.42051324176207,0.302789241636209,-0.839467428748629,11.6818264708913,4.91864337802697,5.1337316621229,5.59261487896959,2.63950964570234,3.53091540222837,2605.0,48.57,,12.83,03/05/2019,Todd,51.05,2.479999999999997,0.162,,,,,,"925C,1H-3,38-40"
154,925.0,C,1,H,3,no,54.0,56.0,3.54,3.54,0.0903684210526316,5.0,67706.9779121557,270.596251034505,227.253140398081,307.644597350648,0.668697715190352,0.779702041468964,46951.6409634048,243.794914852277,203.711755899882,276.741725224935,0.654530160226578,0.786121474977882,71999.5864982798,110.598233920847,94.2050363545087,126.750395065999,0.13023426977826,0.0540893303772826,180513.556809095,478.373395614855,416.19728106924,541.914193349115,0.915453575274851,0.860265635353704,129688.63376677,405.10872656324,341.658123510385,458.701127660618,0.864737900632341,0.848548563428322,4.64624544254564,2.20345965950335,2.10971486661308,2.22467383044515,0.375420217403949,-0.326559972620665,34.28240779818,10.7065375609988,9.71918800496075,10.9636429202247,2.51439696666813,2.54526071110628,1152.0,46.89,62.35,15.46,15/06/2019,Fraass,47.97,1.0799999999999983,0.0653,,253.0,445.0,8.0,0.637535816618911,"925C,1H-3,54-56"
154,925.0,C,1,H,3,no,68.0,69.0,3.68,3.68,0.09525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-3,68-69"
154,925.0,C,1,H,3,no,79.0,81.0,3.79,3.79,0.098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-3,79-81"
154,925.0,C,1,H,3,no,93.0,95.0,3.93,3.93,0.1015,5.0,65007.3594947589,264.475068070449,216.978452843701,301.660729123611,0.65475205133727,0.76633484041004,41572.4449023016,228.933314548465,188.29085601019,259.88114982682,0.636777607804133,0.771562330902338,70844.867187192,108.383759662872,90.9151245945127,127.80912283576,0.11854135304986,0.0455348275555493,180638.361115444,476.950659485283,403.525705761385,545.673912464883,0.89226173079607,0.834983916793636,121899.453504322,390.666705433635,316.539383109014,452.620654339813,0.82983604342733,0.821659367464005,4.17156711460823,2.43851139201016,2.51174108072418,2.48752741955212,0.626081316646815,-0.342591404469756,25.8703915979452,10.5872039742588,11.0548860656086,11.1654560576752,2.9861130929022,2.76605345926634,1533.0,46.93,59.3,12.37,,,,,,,57.0,378.0,8.0,0.868965517241379,"925C,1H-3,93-95"
154,925.0,C,1,H,3,no,105.0,107.0,4.05,4.05,0.1045,5.0,62490.9816988209,259.021618654078,215.24620569995,294.121505278831,0.665063316726389,0.787985275480712,41572.4449023016,228.345310526457,188.742111320547,259.246602237634,0.649111911813118,0.793879485838348,70455.9412266521,106.737925998469,89.5196977757526,124.206587965321,0.1167162762755,0.0448985214197535,164328.569080865,456.483841328702,387.660609960423,517.400925680536,0.889741370729935,0.851390569023873,113411.021239752,377.275853739059,314.780209534425,429.527095767198,0.836251721100164,0.838783478846033,4.68870856276536,2.59538905981365,2.48913565359315,2.68904823922704,0.500910821062987,-0.651059213514916,31.502632891731,12.3386619470384,11.2794696394296,13.2440092528532,2.85781590024942,3.39120746518157,2651.0,46.95,58.91,11.96,15/06/2019,Fraass,48.78,1.83,0.1327,,,,,,"925C,1H-3,105-107"
154,925.0,C,1,H,3,no,119.0,120.0,4.19,4.19,0.108333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-3,119-120"
154,925.0,C,1,H,3,no,125.0,127.0,4.25,4.25,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,363.0,8.0,,"925C,1H-3,125-127"
154,925.0,C,1,H,3,no,133.0,135.0,4.33,4.33,0.112222222222222,5.0,70595.251440834,272.52005060797,227.848223940855,310.342737922881,0.671571786339474,0.77601998614904,44259.8686418018,236.50291938041,197.589397788698,268.144632253375,0.653343038407138,0.780024075892343,83871.6315554142,120.994881233353,100.045974937395,142.926863811356,0.126401470291268,0.050006396405979,201973.374627962,502.78810346086,421.649212982874,575.557962341128,0.907420734155377,0.852980920452547,136472.421847062,413.97876446434,344.903130020676,476.887258409629,0.853547851499461,0.837894946491241,4.27312581669845,2.40759905913098,2.24484077963933,2.50283704871207,0.35018573566234,-0.280045818656473,26.1227306865795,10.584739813829,9.43263608804672,11.3885861634184,2.50897289642731,2.75128162920028,1459.0,46.66,57.93,11.27,11/07/2019,Fraass,,1.6,,reweighed,,,,,"925C,1H-3,133-135"
