Min (Diameter) (µm),Max (Diameter) (µm),Mean (Diameter) (µm),Elongation,Sphericity,Shape Factor,Mean (Gray Intensity Value),Age (Ma),FILE_NAME,Area (µm²),Perimeter (µm)
240.57014782537917,310.9542464638264,279.50884114973803,2.1952424434953652,1.708009267469844,1.8075853131365518,113.77159025155791,3.2864328358209,"925B,11H-4,142-144.xlsx",67171.44909681112,972.5419378614843
237.07909147913242,306.6538124029511,275.41532351151375,2.197024084069485,1.7068392172744018,1.8054415796715948,114.15465557711238,3.25658241758242,"925B,11H-4,31-33.xlsx",65240.69556576076,958.4764395951627
232.63367894610388,299.23319616382156,269.0309763385555,2.187010160234632,1.7170679741267127,1.8071940278533631,107.77658694031552,3.33151428571429,"925B,11H-5,112-114.xlsx",60643.57598891738,935.4560536617653
229.69582628323067,297.46892658076166,267.48329120023635,2.1972853933823546,1.7052580723636352,1.807124270572823,112.01225076808615,3.29985074626866,"925B,11H-5,23-25.xlsx",61612.709843723234,929.6541427160666
231.5468124803433,298.36049083413985,268.566662305736,2.1910371074658728,1.7125040550199715,1.8058611413090357,116.04023432232779,3.31197014925373,"925B,11H-5,51-53.xlsx",61372.94834044617,933.9208892934217
235.16643028638663,303.27106108268833,272.88995232658004,2.1901779232919933,1.7140341773170151,1.80257013106856,115.97668104142396,3.32214285714286,"925B,11H-5,83-85.xlsx",63482.6723729297,950.8261024538374
247.547258660741,333.93872578477567,294.06634296208637,1.2419433255788799,0.6647931665447057,0.8136176116126234,142.77209118429062,0.434964028776978,"925B,3H-1,115-116.csv",82533.50615076648,1024.494288130587
222.52981129353964,293.97989846381455,257.94278865400963,1.224308995222126,0.6908263634012229,0.8097376916540232,132.71351028999825,0.477352941176471,"925B,3H-2,121-123.csv",60472.77341940309,897.0185358515749
237.7157247902743,315.1272080753981,277.83069636132524,1.222919580209524,0.691024952077044,0.8121440355951681,129.9784782769119,0.478529411764706,"925B,3H-2,125-127.csv",72830.19933433596,965.8588093574003
229.38355491817694,305.9054828840785,270.7160073039917,1.2283095164101274,0.6797088948758337,0.8164319759474777,150.15259787486636,0.479411764705882,"925B,3H-2,128-130.csv",66826.29170376282,940.0065603069156
